time,Fx,Fy,Fz
2.89526,0.0610352,0.217983,-0.191825
2.89527,0,0.592913,-0.174386
2.89528,-0.0523158,0.62779,-0.139509
2.89529,0.148228,0.418527,-0.435965
2.8953,0.191825,0.313895,-0.435965
2.89531,-0.13079,0.235421,-0.401088
2.89532,-0.113351,0.191825,-0.418527
2.89533,0.0261579,0.156948,-0.392369
2.89534,0.0435965,0.226702,-0.470843
2.89535,0.113351,0.0959124,-0.418527
2.89536,-0.0348772,-0.0435965,-0.322614
2.89537,-0.200544,-0.0784738,-0.340053
2.89538,-0.174386,-0.444685,-0.366211
2.89539,-0.0697545,-0.653948,-0.12207
2.8954,0.0610352,-0.549316,-0.418527
2.89541,-0.0435965,-0.156948,-0.523158
2.89542,0.148228,0.0959124,-0.296456
2.89543,0.156948,0.226702,-0.331334
2.89544,0.0523158,0.00871931,-0.209263
2.89545,0,0.139509,-0.470843
2.89546,0.0174386,0.305176,-0.558036
2.89547,0.0784738,-0.191825,-0.479562
2.89548,-0.0959124,0.296456,-0.558036
2.89549,-0.226702,0.0959124,-0.523158
2.8955,-0.261579,0.226702,-0.558036
2.89551,0.00871931,0.305176,-0.453404
2.89552,-0.0348772,-0.331334,-0.540597
2.89553,-0.0261579,0.0784738,-0.62779
2.89554,-0.12207,0.340053,-0.453404
2.89555,-0.174386,0.575474,-0.366211
2.89556,-0.00871931,0.444685,-0.697545
2.89557,0.0959124,0.165667,-0.784738
2.89558,0.209263,0.148228,-0.50572
2.89559,0.148228,0.444685,-0.531878
2.8956,0.139509,0.0871931,-0.418527
2.89561,-0.0435965,0.139509,-0.497001
2.89562,-0.0435965,0.313895,-0.392369
2.89563,-0.0784738,-0.0348772,-0.200544
2.89564,-0.0261579,0.25286,-0.418527
2.89565,0.104632,-0.183105,-0.392369
2.89566,-0.0435965,0.139509,-0.13079
2.89567,0,0.793457,-0.0959124
2.89568,-0.104632,0.540597,-0.261579
2.89569,-0.148228,0.776018,-0.235421
2.8957,-0.0523158,0.741141,-0.366211
2.89571,-0.313895,0.165667,-0.287737
2.89572,-0.409808,0.174386,-0.165667
2.89573,-0.104632,0.802176,-0.462123
2.89574,-0.270299,1.16839,-0.348772
2.89575,-0.313895,0.767299,-0.313895
2.89576,-0.139509,0.540597,-0.470843
2.89577,-0.139509,0.810896,-0.479562
2.89578,0.139509,0.540597,-0.470843
2.89579,-0.104632,0.244141,-0.462123
2.8958,-0.200544,0.610352,-0.435965
2.89581,-0.113351,0.994001,-0.322614
2.89582,-0.296456,0.531878,-0.357492
2.89583,-0.209263,0.540597,-0.409808
2.89584,-0.0523158,0.906808,-0.462123
2.89585,-0.12207,0.732422,-0.270299
2.89586,-0.305176,0.610352,-0.322614
2.89587,0.0348772,0.37493,-0.479562
2.89588,0.104632,0.313895,-0.305176
2.89589,-0.0610352,0.662667,-0.427246
2.8959,-0.139509,0.462123,-0.50572
2.89591,-0.0784738,0.200544,-0.540597
2.89592,0.12207,0.584194,-0.453404
2.89593,-0.0871931,0.470843,-0.453404
2.89594,-0.113351,0.235421,-0.479562
2.89595,-0.217983,0.427246,-0.331334
2.89596,-0.12207,0.653948,-0.427246
2.89597,0.0261579,0.671387,-0.392369
2.89598,-0.0697545,0.732422,-0.444685
2.89599,0.0348772,0.915527,-0.523158
2.896,-0.148228,0.575474,-0.401088
2.89601,-0.174386,0.322614,-0.392369
2.89602,0.0610352,0.653948,-0.523158
2.89603,0.13079,0.435965,-0.470843
2.89604,-0.0784738,0.340053,-0.37493
2.89605,-0.104632,0.575474,-0.514439
2.89606,0.113351,0.819615,-0.435965
2.89607,0.13079,0.837054,-0.427246
2.89608,0.0697545,0.453404,-0.409808
2.89609,-0.0523158,0.732422,-0.261579
2.8961,0.104632,0.601632,-0.470843
2.89611,-0.00871931,0.418527,-0.444685
2.89612,-0.0174386,0.38365,-0.183105
2.89613,0.0697545,0.601632,-0.148228
2.89614,-0.191825,0.88065,-0.305176
2.89615,-0.25286,0.636509,-0.217983
2.89616,-0.165667,0.714983,-0.270299
2.89617,-0.0261579,0.435965,-0.409808
2.89618,-0.0959124,0.235421,-0.322614
2.89619,-0.148228,0.619071,-0.488281
2.8962,-0.148228,0.584194,-0.409808
2.89621,-0.25286,0,-0.418527
2.89622,-0.0610352,0.0697545,-0.357492
2.89623,0.13079,0.183105,-0.305176
2.89624,0.00871931,0.488281,-0.409808
2.89625,-0.104632,0.165667,-0.287737
2.89626,-0.0348772,0.0610352,-0.235421
2.89627,0.0523158,0.994001,-0.200544
2.89628,-0.0348772,0.427246,-0.313895
2.89629,-0.12207,0.00871931,-0.313895
2.8963,-0.191825,0.174386,-0.305176
2.89631,-0.331334,0.0435965,-0.191825
2.89632,-0.305176,0.00871931,-0.226702
2.89633,-0.156948,0.418527,-0.38365
2.89634,-0.244141,0.845773,-0.226702
2.89635,-0.226702,0.950405,-0.348772
2.89636,-0.0697545,0.488281,-0.296456
2.89637,0.13079,0.270299,-0.209263
2.89638,0.200544,0.235421,-0.313895
2.89639,-0.0174386,-0.244141,-0.418527
2.8964,-0.00871931,0.0959124,-0.418527
2.89641,-0.0348772,0.104632,-0.13079
2.89642,-0.0871931,-0.104632,-0.279018
2.89643,-0.191825,-0.0523158,-0.497001
2.89644,-0.235421,0.174386,-0.401088
2.89645,0.0784738,0.592913,-0.148228
2.89646,0.104632,0.191825,-0.156948
2.89647,0.261579,-0.0261579,-0.322614
2.89648,0.331334,-0.0348772,-0.12207
2.89649,-0.12207,-0.113351,-0.174386
2.8965,-0.0959124,0.165667,-0.279018
2.89651,0.00871931,0.00871931,-0.270299
2.89652,-0.209263,0.235421,-0.279018
2.89653,-0.0959124,0.514439,-0.104632
2.89654,0.0871931,0.0610352,-0.148228
2.89655,0.0871931,0.104632,-0.235421
2.89656,-0.0959124,0.0523158,-0.305176
2.89657,-0.191825,0.453404,-0.357492
2.89658,0.0348772,0.514439,-0.0523158
2.89659,0.104632,-0.270299,-0.0523158
2.8966,0.0435965,0.540597,-0.13079
2.89661,0.0959124,0.706264,-0.113351
2.89662,0.25286,0.340053,-0.156948
2.89663,0.226702,0.261579,-0.191825
2.89664,0.13079,-0.148228,-0.540597
2.89665,0.00871931,-0.13079,-0.340053
2.89666,0,-0.0523158,-0.270299
2.89667,0.226702,-0.00871931,-0.453404
2.89668,-0.0523158,-0.435965,0.00871931
2.89669,-0.296456,-0.409808,0
2.8967,-0.104632,-0.165667,-0.209263
2.89671,0,-0.287737,-0.191825
2.89672,-0.0174386,-0.0784738,-0.348772
2.89673,0,0.183105,-0.200544
2.89674,-0.0697545,-0.174386,-0.235421
2.89675,-0.261579,-0.0523158,-0.409808
2.89676,-0.183105,0.348772,-0.38365
2.89677,-0.0174386,0.165667,-0.340053
2.89678,-0.12207,0.401088,-0.183105
2.89679,-0.156948,0.13079,-0.340053
2.8968,0,-0.0959124,-0.261579
2.89681,-0.0959124,0.104632,-0.226702
2.89682,-0.392369,-0.0610352,-0.38365
2.89683,-0.313895,0.139509,-0.0523158
2.89684,-0.156948,0.104632,-0.0871931
2.89685,-0.104632,-0.244141,-0.0871931
2.89686,-0.0784738,-0.12207,-0.139509
2.89687,-0.0610352,-0.12207,-0.244141
2.89688,-0.0871931,-0.156948,-0.0784738
2.89689,-0.226702,-0.226702,-0.296456
2.8969,-0.174386,-0.113351,-0.270299
2.89691,-0.235421,0.0174386,-0.296456
2.89692,-0.313895,-0.200544,-0.331334
2.89693,-0.270299,-0.25286,-0.139509
2.89694,-0.165667,-0.514439,-0.165667
2.89695,-0.0784738,-0.418527,-0.148228
2.89696,-0.104632,-0.279018,-0.209263
2.89697,0.0610352,-0.357492,-0.113351
2.89698,-0.0871931,-0.191825,-0.226702
2.89699,-0.209263,-0.322614,-0.340053
2.897,-0.156948,-0.305176,-0.174386
2.89701,-0.191825,-0.13079,-0.200544
2.89702,-0.0523158,-0.305176,-0.165667
2.89703,-0.0784738,-0.366211,-0.139509
2.89704,-0.148228,-0.25286,-0.0261579
2.89705,-0.0784738,0.183105,-0.0435965
2.89706,-0.165667,0,-0.279018
2.89707,-0.366211,-0.165667,-0.139509
2.89708,-0.183105,0.409808,-0.139509
2.89709,-0.0261579,0.00871931,-0.244141
2.8971,-0.156948,-0.261579,-0.0523158
2.89711,-0.12207,0.0523158,-0.0610352
2.89712,0.0435965,0.0610352,-0.0610352
2.89713,-0.0871931,-0.174386,-0.00871931
2.89714,-0.296456,-0.366211,-0.0784738
2.89715,-0.209263,-0.462123,-0.0348772
2.89716,-0.148228,-0.331334,0.0697545
2.89717,-0.113351,-0.165667,0.0959124
2.89718,-0.0959124,0,0.0435965
2.89719,-0.156948,0.462123,0.0261579
2.8972,-0.209263,0.270299,-0.156948
2.89721,-0.113351,0.305176,-0.165667
2.89722,-0.156948,0.13079,-0.156948
2.89723,-0.25286,-0.235421,-0.0871931
2.89724,-0.113351,0.0959124,-0.0174386
2.89725,-0.226702,-0.0871931,-0.200544
2.89726,-0.156948,-0.0174386,-0.113351
2.89727,-0.148228,0.00871931,-0.113351
2.89728,-0.217983,-0.348772,-0.0174386
2.89729,-0.0261579,-0.453404,-0.104632
2.8973,-0.13079,-0.409808,-0.287737
2.89731,-0.183105,-0.217983,-0.148228
2.89732,-0.104632,-0.340053,-0.0261579
2.89733,-0.200544,-0.279018,-0.0261579
2.89734,-0.0784738,-0.427246,-0.0959124
2.89735,-0.226702,-0.540597,0.139509
2.89736,-0.392369,-0.156948,0.00871931
2.89737,-0.191825,-0.38365,-0.139509
2.89738,-0.37493,-0.540597,-0.0174386
2.89739,-0.183105,-0.366211,0.0523158
2.8974,-0.217983,-0.287737,0.148228
2.89741,-0.366211,-0.217983,0.0959124
2.89742,-0.0871931,0.226702,0.13079
2.89743,-0.296456,0.191825,0.0261579
2.89744,-0.156948,-0.12207,0.0523158
2.89745,-0.13079,0.0174386,-0.0697545
2.89746,-0.244141,-0.13079,-0.366211
2.89747,-0.191825,0.191825,-0.313895
2.89748,-0.279018,0.139509,-0.139509
2.89749,-0.296456,-0.183105,-0.104632
2.8975,-0.37493,-0.287737,-0.104632
2.89751,-0.305176,0.0610352,0.00871931
2.89752,-0.244141,0.418527,-0.200544
2.89753,-0.200544,0.453404,-0.25286
2.89754,-0.217983,0.366211,-0.0959124
2.89755,-0.0959124,-0.174386,-0.183105
2.89756,-0.0959124,0.244141,-0.200544
2.89757,-0.322614,0.0697545,-0.0523158
2.89758,-0.235421,-0.322614,0.0261579
2.89759,-0.191825,0.0523158,0.0174386
2.8976,-0.12207,0.148228,0.00871931
2.89761,-0.156948,0.0523158,-0.0523158
2.89762,0.0174386,0.348772,0.0261579
2.89763,0.0784738,0.331334,0.165667
2.89764,-0.139509,0,-0.113351
